email,username,password,balance,birth_date
lisa23@gmail.com,shadowhunter,password123,150.50,1990-05-12
james47@outlook.com,nightwolf,securepass,230.75,1985-09-23
mike92@yahoo.com,thunderstrike,randompass,50.00,2000-01-01
anna34@hotmail.com,ironmaiden,testpass,420.10,1995-07-15
steve56@icloud.com,ghostrider,mysecret,99.99,1988-11-30
emma88@protonmail.com,firestorm,passcode88,305.60,1992-04-21
jack19@mail.com,stormbringer,qwerty987,175.25,1986-12-09
sarah27@zoho.com,phoenixrising,letmein99,489.99,1998-08-03
david63@gmail.com,blackpanther,superpass77,200.10,1981-03-17
olivia72@outlook.com,whitelotus,1234secure,389.50,1993-06-25
ryan85@yahoo.com,skullcrusher,mypass4321,275.75,1979-09-11
kate44@hotmail.com,venomfang,secretword,312.20,2001-02-07
tom31@icloud.com,frostbite99,dragonpass,452.80,1997-10-14
lucas50@protonmail.com,nightstalker,passpass123,185.65,1984-05-30
amy66@mail.com,silenthunter,letmein123,95.00,1991-11-05
chris78@zoho.com,darkknight777,adminpass,155.45,1983-07-19
sophia29@gmail.com,shadowblade,safepass77,278.30,1996-01-22
ben55@outlook.com,stealthwarrior,mynewpass,432.60,2003-04-12
megan43@yahoo.com,redraven,hunter99,120.25,1987-08-28
jason99@hotmail.com,stormwalker,skyhigh12,215.85,1990-09-09
nina22@icloud.com,ghostlyecho,spooky123,333.40,1977-10-23
matt48@protonmail.com,fireknight,trustme99,499.99,1982-03-14
isabella37@mail.com,shadowdancer,secureme22,159.75,2002-06-18
tyler60@zoho.com,darkphoenix,safeword11,205.50,1989-07-29
hannah95@gmail.com,frostqueen,passkey88,312.00,1994-05-03
kevin71@outlook.com,stormbringer99,randompass44,478.90,1985-02-15
claire86@yahoo.com,nightwarrior,secret123,290.80,1991-12-27
ethan33@hotmail.com,vengeancex,letmeinnow,134.45,1980-11-14
zoe58@icloud.com,shadowwarlock,pass4321,250.35,1997-09-05
frank42@protonmail.com,ghoststrike,openme77,399.20,1978-10-01
